groupByColumn,totalInspections,totalCriticalDeficiencies,mean,diffCountyInspections,diffCountyTotalCritDef,diffCountyMean,variance,diffCountyVariance,meanDiff,standardErrDiff,dF,t-Stat,pValue,criticalValue,marginOfError,lowerLimit,upperLimit,verdict,statSignificance
Columbia,113,13,0.115044248,25067,4364,0.17409343,0.102718078,0.243184395,-0.059049182,0.030310244,109,-1.948159207,0.053828141,1.959963985,0.059406988,-0.118456169,0.000357806,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.0538 level. With 95% confidence, the difference in means is between -0.1185 and 0.0004."
Cortland,59,10,0.169491525,25121,4367,0.173838621,0.177673875,0.239264389,-0.004347096,0.054963134,58,-0.079091117,0.937230682,1.959963985,0.107725763,-0.112072859,0.103378667,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.9372 level. With 95% confidence, the difference in means is between -0.1121 and 0.1034."
Delaware,75,11,0.146666667,25105,4366,0.17390958,0.180900901,0.240015261,-0.027242913,0.049209475,74,-0.553611126,0.581498561,1.959963985,0.096448799,-0.123691713,0.069205886,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.5815 level. With 95% confidence, the difference in means is between -0.1237 and 0.0692."
Dutchess,393,60,0.152671756,24787,4317,0.174163876,0.226631874,0.239755666,-0.021492121,0.024214543,278,-0.887570782,0.375290576,1.959963985,0.047459631,-0.068951752,0.025967511,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.3753 level. With 95% confidence, the difference in means is between -0.069 and 0.026."
Erie,1293,166,0.128383604,23887,4211,0.176288358,0.158427494,0.245644611,-0.047904754,0.011524351,40,-4.156828623,3.39E-05,1.959963985,0.022587314,-0.070492067,-0.02531744,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.0705 and -0.0253."
Essex,113,5,0.044247788,25067,4372,0.174412574,0.060524652,0.256769137,-0.130164787,0.023363641,100,-5.571254432,1.64E-07,1.959963985,0.045791894,-0.175956681,-0.084372892,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.176 and -0.0844."
Franklin,75,15,0.2,25105,4362,0.173750249,0.189189189,0.239937859,0.026249751,0.050319776,74,0.521658738,0.60345221,1.959963985,0.098624949,-0.072375198,0.1248747,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.6035 level. With 95% confidence, the difference in means is between -0.0724 and 0.1249."
Fulton,72,7,0.097222222,25108,4370,0.174048112,0.117175274,0.245334075,-0.07682589,0.040462396,71,-1.898698472,0.061602614,1.959963985,0.079304839,-0.156130729,0.002478949,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.0616 level. With 95% confidence, the difference in means is between -0.1561 and 0.0025."
Genesee,62,4,0.064516129,25118,4373,0.174098256,0.09413009,0.251434939,-0.109582127,0.039092677,61,-2.803136935,0.006745034,1.959963985,0.076620239,-0.186202366,-0.032961888,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1862 and -0.033."
Greene,90,13,0.144444444,25090,4364,0.173933838,0.169912609,0.240215696,-0.029489394,0.043560212,89,-0.676980038,0.500152984,1.959963985,0.085376446,-0.11486584,0.055887052,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.5002 level. With 95% confidence, the difference in means is between -0.1149 and 0.0559."
Hamilton,21,1,0.047619048,25159,4376,0.173933781,0.047619048,0.255198664,-0.126314734,0.047725435,20,-2.646696336,0.015396155,1.959963985,0.093540133,-0.219854867,-0.0327746,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.2199 and -0.0328."
Herkimer,41,5,0.12195122,25139,4372,0.173913043,0.209756098,0.24184614,-0.051961824,0.071593455,40,-0.725790148,0.472172673,1.959963985,0.140320592,-0.192282416,0.088358769,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.4722 level. With 95% confidence, the difference in means is between -0.1923 and 0.0884."
Jefferson,177,39,0.220338983,25003,4338,0.17349918,0.30912943,0.24078939,0.046839803,0.041906138,174,1.117731329,0.265176773,1.959963985,0.082134521,-0.035294718,0.128974324,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.2652 level. With 95% confidence, the difference in means is between -0.0353 and 0.129."
Kings,4314,1298,0.300880853,20866,3079,0.147560625,0.378728647,0.229722493,0.153320228,0.00993982,18,15.42484996,4.02E-53,1.959963985,0.019481689,0.133838539,0.172801917,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between 0.1338 and 0.1728."
Lewis,38,2,0.052631579,25142,4375,0.174011614,0.051209104,0.254091687,-0.121380035,0.036847174,37,-3.29414771,0.002156112,1.959963985,0.072219135,-0.19359917,-0.0491609,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1936 and -0.0492."
Livingston,81,11,0.135802469,25099,4366,0.173951153,0.16882716,0.240778404,-0.038148684,0.045758923,80,-0.833688413,0.406909959,1.959963985,0.089685842,-0.127834526,0.051537158,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.4069 level. With 95% confidence, the difference in means is between -0.1278 and 0.0515."
Madison,62,7,0.112903226,25118,4370,0.17397882,0.134584876,0.243078729,-0.061075594,0.046694767,61,-1.307975132,0.195731826,1.959963985,0.091520062,-0.152595656,0.030444468,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.1957 level. With 95% confidence, the difference in means is between -0.1526 and 0.0304."
Monroe,849,78,0.091872792,24331,4299,0.176688176,0.128341889,0.249915586,-0.084815384,0.012705896,58,-6.675277716,4.00E-11,1.959963985,0.024903098,-0.109718483,-0.059912286,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1097 and -0.0599."
Montgomery,108,19,0.175925926,25072,4358,0.1738194,0.277172032,0.238945647,0.002106526,0.0507537,107,0.041504871,0.966970187,1.959963985,0.099475424,-0.097368899,0.10158195,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.967 level. With 95% confidence, the difference in means is between -0.0974 and 0.1016."
Nassau,1188,148,0.124579125,23992,4229,0.176267089,0.152958963,0.245911575,-0.051687964,0.011789956,44,-4.384067536,1.24E-05,1.959963985,0.02310789,-0.074795854,-0.028580075,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.0748 and -0.0286."
New York,1607,462,0.287492222,23573,3915,0.166079837,0.369351553,0.244030471,0.121412384,0.015498106,122,7.83401429,7.53E-15,1.959963985,0.03037573,0.091036655,0.151788114,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between 0.091 and 0.1518."
Niagara,201,7,0.034825871,24979,4370,0.174946955,0.033781095,0.260225697,-0.140121085,0.01335975,57,-10.48830125,2.93E-21,1.959963985,0.026184629,-0.166305714,-0.113936456,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1663 and -0.1139."
Oneida,160,48,0.3,25020,4329,0.173021583,0.412578616,0.254022943,0.126978417,0.050879948,159,2.495647525,0.013573984,1.959963985,0.099722866,0.027255551,0.226701284,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between 0.0273 and 0.2267."
Onondaga,485,54,0.111340206,24695,4323,0.175055679,0.136338076,0.245099524,-0.063715473,0.017059733,150,-3.734845778,0.000207817,1.959963985,0.033436463,-0.097151936,-0.03027901,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.0972 and -0.0303."
Ontario,97,7,0.072164948,25083,4370,0.174221584,0.067654639,0.250135758,-0.102056636,0.026597797,92,-3.837033351,0.000218901,1.959963985,0.052130725,-0.154187361,-0.049925911,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1542 and -0.0499."
Orange,485,46,0.094845361,24695,4331,0.175379632,0.102556019,0.248141122,-0.080534271,0.014883009,98,-5.411155306,9.34E-08,1.959963985,0.029170161,-0.109704431,-0.05136411,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1097 and -0.0514."
Orleans,53,11,0.20754717,25127,4366,0.173757313,0.283018868,0.24015221,0.033789857,0.073140523,52,0.46198544,0.646010626,1.959963985,0.143352792,-0.109562935,0.177142649,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.646 level. With 95% confidence, the difference in means is between -0.1096 and 0.1771."
Oswego,117,22,0.188034188,25063,4355,0.173762119,0.205717654,0.239460981,0.014272069,0.04204551,116,0.339443346,0.734882361,1.959963985,0.082407685,-0.068135617,0.096679754,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.7349 level. With 95% confidence, the difference in means is between -0.0681 and 0.0967."
Otsego,70,17,0.242857143,25110,4360,0.173636002,0.476397516,0.243230048,0.069221141,0.082555226,69,0.838482849,0.404640357,1.959963985,0.16180527,-0.092584129,0.231026411,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.4046 level. With 95% confidence, the difference in means is between -0.0926 and 0.231."
Putnam,110,28,0.254545455,25070,4349,0.173474272,0.356630525,0.245136778,0.081071183,0.057025203,109,1.421672843,0.157942968,1.959963985,0.111767344,-0.030696162,0.192838527,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.1579 level. With 95% confidence, the difference in means is between -0.0307 and 0.1928."
Queens,2747,376,0.136876593,22433,4001,0.178353319,0.187375965,0.246968629,-0.041476726,0.008900578,13,-4.660003536,3.24E-06,1.959963985,0.017444813,-0.058921539,-0.024031913,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.0589 and -0.024."
Rensselaer,202,17,0.084158416,24978,4360,0.174553607,0.097359736,0.248350433,-0.090395191,0.022179307,156,-4.075654457,6.48E-05,1.959963985,0.043470643,-0.133865834,-0.046924548,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1339 and -0.0469."
Richmond,632,76,0.120253165,24548,4301,0.175207756,0.172521013,0.243759587,-0.054954592,0.016819816,153,-3.267252884,0.001137975,1.959963985,0.032966233,-0.087920825,-0.021988358,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.0879 and -0.022."
Rockland,350,50,0.142857143,24830,4327,0.174265002,0.214490381,0.240422449,-0.031407859,0.024950198,264,-1.258822021,0.208895654,1.959963985,0.04890149,-0.080309349,0.017493631,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.2089 level. With 95% confidence, the difference in means is between -0.0803 and 0.0175."
Saratoga,329,30,0.09118541,24851,4347,0.174922538,0.095318408,0.247922117,-0.083737128,0.017311786,137,-4.837001001,1.96E-06,1.959963985,0.033930478,-0.117667606,-0.04980665,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1177 and -0.0498."
Schenectady,219,16,0.073059361,24961,4361,0.174712552,0.077206652,0.250761612,-0.101653191,0.019041742,135,-5.338439742,2.21E-07,1.959963985,0.037321128,-0.138974319,-0.064332063,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.139 and -0.0643."
Schoharie,65,9,0.138461538,25115,4368,0.173919968,0.183653846,0.240499111,-0.03545843,0.053244903,64,-0.665949746,0.507816791,1.959963985,0.104358092,-0.139816522,0.068899663,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.5078 level. With 95% confidence, the difference in means is between -0.1398 and 0.0689."
Schuyler,25,3,0.12,25155,4374,0.173881932,0.11,0.242127375,-0.053881932,0.06640501,24,-0.811413651,0.425062655,1.959963985,0.130151429,-0.184033361,0.076269497,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.4251 level. With 95% confidence, the difference in means is between -0.184 and 0.0763."
Seneca,36,3,0.083333333,25144,4374,0.173958002,0.078571429,0.247528581,-0.090624669,0.046822902,35,-1.935477412,0.060954357,1.959963985,0.091771201,-0.18239587,0.001146532,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.061 level. With 95% confidence, the difference in means is between -0.1824 and 0.0011."
St. Lawrence,177,25,0.141242938,25003,4352,0.174059113,0.178800719,0.240597572,-0.032816175,0.03193425,168,-1.027616913,0.305503764,1.959963985,0.062589979,-0.095406154,0.029773804,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.3055 level. With 95% confidence, the difference in means is between -0.0954 and 0.0298."
Steuben,149,16,0.10738255,25031,4361,0.174223962,0.096499184,0.24438842,-0.066841412,0.025639987,134,-2.606920614,0.010033486,1.959963985,0.050253452,-0.117094864,-0.01658796,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1171 and -0.0166."
Suffolk,1769,109,0.061616733,23411,4268,0.182307462,0.070296253,0.265396082,-0.12069073,0.007146624,5,-16.88779663,9.75E-62,1.959963985,0.014007125,-0.134697855,-0.106683604,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1347 and -0.1067."
Sullivan,147,2,0.013605442,25033,4375,0.174769305,0.013512254,0.266242657,-0.161163862,0.010126982,22,-15.91430327,2.81E-36,1.959963985,0.01984852,-0.181012382,-0.141315342,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.181 and -0.1413."
Tioga,54,4,0.074074074,25126,4373,0.174042824,0.069881202,0.249433382,-0.09996875,0.036111267,53,-2.768353405,0.007703554,1.959963985,0.070776784,-0.170745534,-0.029191967,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1707 and -0.0292."
Tompkins,94,18,0.191489362,25086,4359,0.173762258,0.242507435,0.23940417,0.017727104,0.050886242,93,0.348367319,0.7283453,1.959963985,0.099735203,-0.082008099,0.117462306,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.7283 level. With 95% confidence, the difference in means is between -0.082 and 0.1175."
Ulster,314,47,0.149681529,24866,4330,0.174133355,0.159632486,0.240694541,-0.024451826,0.022761006,221,-1.074285842,0.28348037,1.959963985,0.044610751,-0.069062577,0.020158925,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.2835 level. With 95% confidence, the difference in means is between -0.0691 and 0.0202."
Warren,162,20,0.12345679,25018,4357,0.174154609,0.158576796,0.242175775,-0.050697819,0.031441202,154,-1.612464396,0.108763447,1.959963985,0.061623623,-0.112321442,0.010925805,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.1088 level. With 95% confidence, the difference in means is between -0.1123 and 0.0109."
Washington,77,11,0.142857143,25103,4366,0.173923435,0.203007519,0.240175187,-0.031066293,0.051439565,76,-0.603937697,0.547667793,1.959963985,0.100819695,-0.131885988,0.069753403,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.5477 level. With 95% confidence, the difference in means is between -0.1319 and 0.0698."
Wayne,96,3,0.03125,25084,4374,0.174374103,0.051644737,0.26022091,-0.143124103,0.02341666,87,-6.11206295,1.94E-08,1.959963985,0.045895811,-0.189019914,-0.097228292,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.189 and -0.0972."
Westchester,968,242,0.25,24212,4135,0.170783083,0.557911065,0.232404692,0.079216917,0.024206469,464,3.27255152,0.001099561,1.959963985,0.047443808,0.03177311,0.126660725,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between 0.0318 and 0.1267."
Wyoming,54,3,0.055555556,25126,4374,0.174082624,0.053459119,0.253514403,-0.118527068,0.031623937,53,-3.748017409,0.000433934,1.959963985,0.061981778,-0.180508846,-0.05654529,We reject the null that there is no difference between the sample means.,"The difference is statistically significant at the <0.05 level. With 95% confidence, the difference in means is between -0.1805 and -0.0565."
Yates,53,5,0.094339623,25127,4372,0.1739961,0.087082729,0.245750368,-0.079656477,0.040655266,52,-1.959315098,0.055366902,1.959963985,0.079682858,-0.159339335,2.64E-05,We fail to reject the null that there is no difference between the sample means.,"The difference is not statistically significant at the 0.0554 level. With 95% confidence, the difference in means is between -0.1593 and 0.0."
